word,occurences
copernicus,14
jimthorpe,21
arizona,78
mcdonalds,39
johnadams,61
theant,1
theappianway,10
michaeljordan,44
washington,95
cratebarrel,1
jackiegleason,9
thecud,1
ceylonorsrilanka,1
jimbrown,7
theuvindex,1
bulova,1
jessejames,21
imp,1
theinternational,1
lougehrig,25
morocco,61
paulbonwit,1
hattiemcdanielforherroleingonewiththewind,1
era,4
thecongressparty,1
wiltchamberlain,17
k2,11
ethanallen,18
ply,2
horton,9
nixon,42
akennel,5
moses,73
aerosmith,14
oratory,1
coolidgeorchesterarthur,1
businessclass,1
muhammed,2
themysterytrain,1
anoldfashioned,2
yertle,1
airfrance,6
thequakers,12
sheenaeaston,5
organza,1
mulberrystreet,5
ted,3
johnknox,10
theclash,7
xc,2
bartholomewcubbins,3
mall,3
stignatiusloyola,3
nighttrain,1
thexyzaffair,4
icarus,9
england,75
mileycyrus,8
theskin,9
48,18
dribbling,1
heart,44
theequator,20
carebears,1
h2o,6
98,2
sonar,7
adart,1
easterisland,31
avrillavigne,7
thestone,2
360,11
jacks,8
apart,1
egypt,122
colbiecaillat,2
leaves,7
750,1
themoonwalk,2
achart,1
ellisisland,20
onerepublic,1
blossoms,1
2070,1
atrampoline,6
mozart,44
thenucleus,4
thelittleleague,1
harrypotter,23
anoctopus,6
haiti,51
akilt,5
photosynthesis,18
surfing,16
lasvegas,56
oregon,56
toyota,32
correct,3
plane,3
thehighjump,6
agermanshepherd,2
thedragonfly,3
dracula,40
corn,40
helium,46
judo,8
thelibertybell,20
redwood,4
massachusetts,104
pedestrian,4
magma,8
soccer,43
princewilliam,15
ronaldreagan,125
theballoonboy,1
apalindrome,3
pocahontas,50
princessdiana,28
thewestwing,22
tokyo,67
billyidol,6
heartofdarkness,18
tramssmart,1
elizabethi,48
jamesbrolin,6
bangkok,29
ivantheterrible,41
jonathanswift,19
slooppools,1
cleopatra,96
themonkees,16
prague,38
ericidle,3
aynrand,22
eviannaive,1
queenvictoria,58
theloveboat,10
nairobikenya,1
isaiah,7
theoriginofspecies,3
dewwed,1
queenisabella,12
willferrell,11
rome,100
leeiacocca,16
wonkknow,1
williampenn,15
soundeffects,2
france,193
thesexpistols,8
campbellssoupcans,1
may,20
johndrockefeller,23
continuity,1
greatbritainunitedkingdom,1
gibraltar,27
maotsetung,30
mame,9
sinkingofthetitanic,3
35mm,1
newzealand,111
life,27
interview,3
mourning,3
geronimo,25
steadicam,1
portugal,81
thefactory,1
medea,12
thomasjefferson,123
negativecutter,1
usa,18
velvetunderground,1
mephistopheles,7
hjheinzheinz57varieties,1
enamel,9
mrsolearyscow,1
greatbritainengland,7
worldtradecenter,5
pulpfiction,14
pupil,6
halflife,8
pikespeak,19
india,185
sanfrancisco,117
speed,10
lash,4
iodine,17
adamsrib,1
cuba,104
boston,119
theflintstones,19
socket,1
redgiants,1
marthasvineyard,14
germany,147
airspacemuseum,3
thelionking,26
iris,15
neutral,6
aaronsrodturnedintoasnake,1
greece,125
oakridge,6
quizshow,3
contacts,1
polarbears,4
helen,19
michael,18
mexico,164
ink,10
governor,11
harps,1
johannesgutenberg,10
impressionism,13
fairbanks,5
pingpong,9
angeleyes,1
iceland,86
ibn,1
thelastfrontierthegreatlandornorthtothefuture,1
garrykasparov,9
victoria,55
guardianangels,1
ottomanempire,14
imminent,2
williamseward,14
rugby,14
isabella,20
angelofdeath,1
lesotho,11
inflation,9
slovenia,11
jeffersondavis,49
britneyspears,21
austin,17
winking,1
sanantonio,25
