word,occurences
copernicus,14
jim thorpe,21
arizona,78
mcdonalds,39
john adams,61
the ant,1
the appian way,10
michael jordan,44
washington,95
crate barrel,1
jackie gleason,9
the cud,1
ceylon or sri lanka,1
jim brown,7
the uv index,1
bulova,1
jesse james,21
imp,1
the international,1
lou gehrig,25
morocco,61
paul bonwit,1
hattie mcdaniel for her role in gone with the wind,1
era,4
the congress party,1
wilt chamberlain,17
k2,11
ethan allen,18
ply,2
horton,9
nixon,42
a kennel,5
moses,73
aerosmith,14
oratory,1
coolidge or chester arthur,1
business class,1
muhammed,2
the mystery train,1
an oldfashioned,1
yertle,1
air france,6
the quakers,12
sheena easton,5
organza,1
mulberry street,5
ted,3
john knox,10
the clash,7
xc,2
bartholomew cubbins,3
mall,3
st ignatius loyola,3
night train,1
the xyz affair,4
icarus,9
england,75
miley cyrus,8
the skin,9
48,18
dribbling,1
heart,44
the equator,20
care bears,1
h2o,6
98,2
sonar,7
a dart,1
easter island,31
avril lavigne,7
the stone,2
360,11
jacks,8
a part,1
egypt,122
colbie caillat,2
leaves,7
750,1
the moonwalk,2
a chart,1
ellis island,20
onerepublic,1
blossoms,1
2070,1
a trampoline,6
mozart,44
the nucleus,4
the little league,1
harry potter,23
an octopus,6
haiti,51
a kilt,5
photosynthesis,18
surfing,16
las vegas,56
oregon,56
toyota,32
correct,3
plane,3
the high jump,6
a german shepherd,2
the dragonfly,3
dracula,40
corn,40
helium,46
judo,8
the liberty bell,20
redwood,4
massachusetts,104
pedestrian,4
magma,8
soccer,43
prince william,15
ronald reagan,125
the balloon boy,1
a palindrome,3
pocahontas,50
princess diana,28
the west wing,22
tokyo,67
billy idol,6
heart of darkness,18
trams smart,1
elizabeth i,48
james brolin,6
bangkok,29
ivan the terrible,41
jonathan swift,19
sloop pools,1
cleopatra,96
the monkees,16
prague,38
eric idle,3
ayn rand,22
evian naive,1
queen victoria,58
the love boat,10
nairobi kenya,1
isaiah,7
the origin of species,3
dew wed,1
queen isabella,12
will ferrell,11
rome,100
lee iacocca,16
wonk know,1
william penn,15
sound effects,2
france,193
the sex pistols,8
campbells soup cans,1
may,20
john d rockefeller,23
continuity,1
great britain united kingdom,1
gibraltar,27
mao tsetung,30
mame,9
sinking of the titanic,3
35mm,1
new zealand,111
life,27
interview,3
mourning,3
geronimo,25
steadicam,1
portugal,81
the factory,1
medea,12
thomas jefferson,123
negative cutter,1
usa,18
velvet underground,1
mephistopheles,7
hj heinz heinz 57 varieties,1
enamel,9
mrs olearys cow,1
great britainengland,7
world trade center,5
pulp fiction,14
pupil,6
halflife,8
pikes peak,19
india,185
san francisco,117
speed,10
lash,4
iodine,17
adams rib,1
cuba,104
boston,119
the flintstones,19
socket,1
red giants,1
marthas vineyard,14
germany,147
air space museum,3
the lion king,26
iris,15
neutral,6
aarons rod turned into a snake,1
greece,125
oak ridge,6
quiz show,3
contacts,1
polar bears,4
helen,19
michael,18
mexico,164
ink,10
governor,11
harps,1
johannes gutenberg,10
impressionism,13
fairbanks,5
pingpong,6
angel eyes,1
iceland,86
ibn,1
the last frontier the great land or north to the future,1
garry kasparov,9
victoria,55
guardian angels,1
ottoman empire,14
imminent,2
william seward,14
rugby,14
isabella,20
angel of death,1
lesotho,11
inflation,9
slovenia,11
jefferson davis,49
britney spears,21
austin,17
winking,1
san antonio,25
seventeencom,1
a siege,1
chris rock,8
ivan,9
where your mouth is,1
the starspangled banner,11
thirteen,3
richmond,25
rupert grint,1
regina,8
a kiss,4
red white,8
