word,occurences,,
australia,513,,50245
china,487,,
chicago,476,,
japan,469,,
france,460,,
india,432,,
spain,430,,
california,423,,
mexico,389,,
alaska,386,,
canada,376,,
hawaii,361,,
italy,354,,
florida,349,,
texas,343,,
brazil,333,,
paris,324,,
new york,324,,
ireland,324,,
egypt,319,,
greece,315,,
south africa,311,,
germany,307,,
sweden,305,,
london,301,,
boston,300,,
russia,294,,
switzerland,283,,
san francisco,281,,
new orleans,279,,
philadelphia,267,,
georgia,266,,
virginia,266,,
norway,250,,
george washington,247,,
napoleon,246,,
maine,245,,
mercury,245,,
massachusetts,245,,
portugal,244,,
cuba,242,,
new zealand,239,,
oklahoma,237,,
venice,234,,
rome,232,,
denmark,232,,
louisiana,232,,
thomas jefferson,231,,
mars,230,,
poland,229,,
julius caesar,229,,
michigan,228,,
abraham lincoln,226,,
washington,226,,
scotland,224,,
pennsylvania,223,,
israel,221,,
ronald reagan,220,,
red,218,,
venus,218,,
belgium,218,,
africa,215,,
antarctica,214,,
the netherlands,213,,
cleopatra,204,,
andrew jackson,204,,
the philippines,203,,
hamlet,201,,
colorado,199,,
iceland,198,,
richard nixon,196,,
gold,191,,
3,191,,
indonesia,190,,
argentina,190,,
new jersey,189,,
atlanta,187,,
blue,187,,
white,187,,
minnesota,181,,
athens,181,,
henry viii,181,,
new mexico,180,,
mark twain,178,,
benjamin franklin,177,,
iran,177,,
north carolina,177,,
jimmy carter,176,,
vienna,175,,
berlin,174,,
ohio,172,,
utah,172,,
arizona,172,,
macbeth,172,,
jupiter,169,,
england,169,,
turkey,167,,
david,165,,
chile,164,,
4,164,,
the moon,163,,
hungary,163,,
green,162,,
water,161,,
illinois,161,,
edgar allan poe,159,,
2,159,,
woodrow wilson,159,,
lincoln,158,,
moses,157,,
theodore roosevelt,157,,
tennessee,157,,
eisenhower,156,,
teddy roosevelt,156,,
florence,156,,
alabama,156,,
wisconsin,154,,
jerusalem,154,,
alexander the great,153,,
beethoven,153,,
maryland,152,,
rhode island,152,,
galileo,151,,
john adams,151,,
new york city,150,,
indiana,149,,
golf,149,,
rice,149,,
missouri,148,,
mozart,147,,
silver,147,,
vermont,147,,
new hampshire,147,,
kentucky,146,,
mississippi,146,,
world war i,146,,
moscow,145,,
elvis presley,145,,
michelangelo,143,,
wyoming,143,,
austria,143,,
colombia,142,,
saturn,141,,
tea,141,,
washington dc,141,,
iron,141,,
kansas,141,,
greenland,141,,
gerald ford,141,,
dublin,139,,
panama,139,,
nevada,139,,
south carolina,139,,
vietnam,138,,
french,138,,
harvard,138,,
saudi arabia,138,,
tokyo,137,,
detroit,137,,
john f kennedy,137,,
idaho,137,,
haiti,135,,
montana,135,,
madonna,135,,
morocco,135,,
solomon,134,,
richard iii,133,,
ethiopia,133,,
joan of arc,132,,
connecticut,132,,
afghanistan,131,,
pakistan,130,,
the sun,130,,
wales,129,,
victoria,129,,
othello,129,,
madagascar,129,,
queen victoria,129,,
columbus,129,,
basketball,128,,
german,128,,
puerto rico,127,,
marie antoinette,127,,
buddhism,127,,
black,127,,
venezuela,126,,
nebraska,126,,
quebec,125,,
monaco,125,,
oregon,125,,
yellow,125,,
agatha christie,125,,
pluto,124,,
oxygen,123,,
islam,123,,
amelia earhart,123,,
peru,123,,
pittsburgh,123,,
picasso,123,,
ford,122,,
thailand,121,,
winston churchill,121,,
stephen king,121,,
7,121,,
5,120,,
los angeles,120,,
the nile,120,,
catherine the great,120,,
iraq,120,,
fdr,119,,
salt,119,,
rembrandt,119,,
st louis,117,,
aaron burr,117,,
coffee,117,,
neptune,117,,
arkansas,116,,
6,116,,
corn,116,,
12,116,,
andrew johnson,115,,
marilyn monroe,115,,
cairo,115,,
seattle,115,,
notre dame,114,,
fish,114,,
jefferson davis,114,,
baseball,114,,
casablanca,113,,
yale,113,,
the civil war,113,,
eleanor roosevelt,113,,
teeth,112,,
hydrogen,112,,
jamaica,112,,
lead,112,,
the united states,111,,
paul revere,111,,
nashville,111,,
delaware,111,,
mexico city,111,,
finland,111,,
las vegas,111,,
pocahontas,111,,
south america,110,,
columbia,110,,
king lear,110,,
the mississippi,110,,
oxford,110,,
rum,109,,
coal,108,,
hercules,108,,
copper,108,,
denver,108,,
andy warhol,108,,
blood,108,,
romania,108,,
soccer,107,,
milk,107,,
louis xiv,107,,
cyprus,107,,
margaret thatcher,107,,
sicily,107,,
hannibal,107,,
alexander graham bell,107,,
bill clinton,107,,
nixon,107,,
gone with the wind,107,,
iowa,106,,
charlemagne,106,,
cocacola,106,,
ernest hemingway,106,,
martin luther,105,,
robert frost,105,,
elizabeth i,105,,
peter the great,105,,
a midsummer nights dream,104,,
harry truman,104,,
arabic,104,,
sherlock holmes,104,,
oscar wilde,103,,
peter pan,103,,
john quincy adams,103,,
the tempest,103,,
tennis,103,,
buffalo,102,,
carbon,102,,
sri lanka,101,,
david copperfield,101,,
grover cleveland,101,,
amsterdam,101,,
asia,101,,
james joyce,101,,
south dakota,101,,
the amazon,101,,
memphis,100,,
george bernard shaw,100,,
f scott fitzgerald,100,,
oil,100,,
horses,100,,
john,100,,
don quixote,100,,
jefferson,99,,
jordan,99,,
apple,99,,
noah,99,,
english,99,,
frank lloyd wright,99,,
cinderella,99,,
hair,98,,
tennessee williams,98,,
the soviet union,98,,
herbert hoover,98,,
lyndon johnson,98,,
montreal,98,,
charles dickens,98,,
hinduism,98,,
cheese,98,,
8,98,,
football,97,,
carbon dioxide,97,,
robert e lee,97,,
10,97,,
michael jackson,97,,
honolulu,97,,
algeria,97,,
exodus,97,,
christopher columbus,97,,
babe ruth,96,,
brown,96,,
love,96,,
time,96,,
toronto,96,,
emily dickinson,96,,
liberia,96,,
helium,96,,
princeton,95,,
the wizard of oz,95,,
1984,95,,
cotton,95,,
niagara falls,95,,
phoenix,95,,
jane austen,95,,
van gogh,94,,
copenhagen,94,,
dracula,93,,
dallas,93,,
brigham young,93,,
luxembourg,93,,
1,93,,
the thames,93,,
orange,93,,
alexander hamilton,93,,
west virginia,93,,
the rhine,93,,
alexandria,93,,
john brown,93,,
william faulkner,93,,
manhattan,92,,
cambodia,92,,
eggs,92,,
bangladesh,92,,
marco polo,92,,
wine,92,,
the statue of liberty,92,,
eugene oneill,91,,
baltimore,91,,
hong kong,91,,
samson,91,,
ulysses s grant,91,,
romeo and juliet,91,,
edinburgh,91,,
thomas edison,91,,
william henry harrison,91,,
muhammad ali,91,,
nero,91,,
grant,91,,
cats,91,,
rio de janeiro,90,,
hans christian andersen,90,,
the heart,90,,
walt whitman,90,,
eyes,90,,
john paul jones,89,,
oslo,89,,
florence nightingale,89,,
stalin,89,,
paul,89,,
mcdonalds,88,,
john the baptist,88,,
genghis khan,88,,
the louvre,88,,
susan b anthony,88,,
greek,88,,
lebanon,87,,
13,87,,
nicaragua,87,,
champagne,87,,
joseph,87,,
charles lindbergh,87,,
gravity,87,,
churchill,87,,
aluminum,86,,
tchaikovsky,86,,
madrid,86,,
ontario,86,,
carmen,86,,
beer,86,,
gettysburg,86,,
the andes,86,,
frank sinatra,85,,
the liver,85,,
mussolini,85,,
neil simon,85,,
peter,85,,
edison,85,,
yugoslavia,85,,
aristotle,85,,
houston,85,,
south korea,85,,
the danube,84,,
beijing,84,,
brooklyn,84,,
madison,84,,
martin luther king jr,84,,
georgia okeeffe,84,,
wagner,84,,
prague,84,,
john glenn,84,,
truman,84,,
crete,83,,
ivan the terrible,83,,
confucius,83,,
calvin coolidge,83,,
gandhi,83,,
the constitution,83,,
the panama canal,83,,
nigeria,82,,
michael jordan,82,,
shakespeare,82,,
einstein,82,,
genesis,82,,
dylan thomas,82,,
uranus,82,,
great britain,82,,
wings,81,,
george iii,81,,
robert louis stevenson,81,,
the red sea,81,,
marie curie,81,,
nike,81,,
lord byron,81,,
nepal,81,,
bob dylan,81,,
malcolm x,81,,
albert einstein,81,,
libya,81,,
virginia woolf,80,,
potatoes,80,,
british columbia,80,,
malta,80,,
vodka,80,,
rudyard kipling,80,,
sydney,80,,
arthur miller,80,,
world war ii,80,,
reagan,80,,
slavery,80,,
spanish,80,,
sir walter scott,80,,
oliver twist,80,,
lenin,80,,
louisa may alcott,79,,
westminster abbey,79,,
the ottoman empire,79,,
robinson crusoe,79,,
cleveland,79,,
the indian ocean,79,,
socrates,79,,
istanbul,79,,
james madison,79,,
milan,79,,
fidel castro,79,,
yellowstone,79,,
buenos aires,79,,
the beatles,79,,
elton john,78,,
clint eastwood,78,,
singapore,78,,
mount everest,78,,
jamestown,78,,
treasure island,78,,
kenya,78,,
buddha,78,,
silk,78,,
thomas hardy,77,,
annie oakley,77,,
the black sea,77,,
the war of 1812,77,,
an elephant,77,,
latin,77,,
mecca,77,,
dr seuss,77,,
cambridge,77,,
monopoly,77,,
chess,77,,
newton,77,,
jane eyre,77,,
czechoslovakia,77,,
howard hughes,77,,
bruce springsteen,77,,
elizabeth barrett browning,77,,
barcelona,77,,
vancouver,77,,
barbra streisand,77,,
lewis carroll,77,,
mary queen of scots,77,,
gemini,77,,
war and peace,76,,
lewis clark,76,,
tasmania,76,,
pablo picasso,76,,
clara barton,76,,
salt lake city,76,,
benedict arnold,76,,
the rolling stones,76,,
salmon,76,,
wilson,76,,
u2,76,,
diamonds,76,,
patrick henry,76,,
west point,76,,
liechtenstein,76,,
paul mccartney,76,,
james fenimore cooper,75,,
hockey,75,,
christmas,75,,
indira gandhi,75,,
the great gatsby,75,,
prince edward island,75,,
bamboo,75,,
nathaniel hawthorne,75,,
easter island,75,,
st petersburg,75,,
jack london,75,,
stockholm,75,,
the alps,75,,
william howard taft,75,,
cheers,75,,
helsinki,75,,
the titanic,74,,
billy the kid,74,,
george washington carver,74,,
the grapes of wrath,74,,
the brain,74,,
the scarlet letter,74,,
hillary clinton,74,,
pink,74,,
cricket,74,,
hemingway,74,,
sheep,74,,
john steinbeck,74,,
troy,74,,
thomas paine,74,,
darwin,74,,
henry ford,74,,
wuthering heights,73,,
leonardo da vinci,73,,
andorra,73,,
gin,73,,
mash,73,,
miami,73,,
helen keller,73,,
henry james,73,,
john wilkes booth,73,,
johann sebastian bach,73,,
a horse,73,,
honey,73,,
jonah,73,,
thor,73,,
taiwan,72,,
the alamo,72,,
bolivia,72,,
the declaration of independence,72,,
vincent van gogh,72,,
jaws,72,,
uranium,72,,
alberta,72,,
woody allen,72,,
bismarck,72,,
gertrude stein,72,,
the united nations,72,,
gibraltar,72,,
william jennings bryan,71,,
john wayne,71,,
a tale of two cities,71,,
lisbon,71,,
ts eliot,71,,
mother teresa,71,,
prince,71,,
davy crockett,71,,
chopin,71,,
job,71,,
willa cather,70,,
grease,70,,
bread,70,,
easter,70,,
mary,70,,
jacob,70,,
mongolia,70,,
dorothy parker,70,,
fire,70,,
richmond,70,,
john lennon,70,,
john grisham,70,,
will rogers,69,,
nelson mandela,69,,
pope john paul ii,69,,
little women,69,,
warsaw,69,,
superman,69,,
jfk,69,,
