show #,airdate,round,category,value,question,answer
4684,2005-01-06,Jeopardy,THE CIVIL WAR,200,"Until the first battle of this in July 1861, the North estimated that the war would last about 90 days",(the first Battle of) Bull Run
4684,2005-01-06,Jeopardy,'90s MUSIC,200,"This rapper had the aptly titled hit ""Big Poppa""",Biggie Smalls (The Notorious B.I.G.)
4684,2005-01-06,Jeopardy,NATIONAL HISTORIC SITES,200,A site near Walla Walla commemorates the role of Marcus & Narcissa Whitman in establishing part of this trail,the Oregon Trail
4684,2005-01-06,Jeopardy,NOW THAT'S INVENTIVE!,200,"In 1889 this Elizabethport, New Jersey company electrified the sewing machine",Singer
4684,2005-01-06,Jeopardy,TRUCKIN',200,There's no getting around this company's Dakota & Ram pickups,Dodge
4684,2005-01-06,Jeopardy,EDIBLE RHYME TIME,200,Thin soup made from a butterfly relative,moth broth
4684,2005-01-06,Jeopardy,THE CIVIL WAR,400,The fatefully named Stapleton Crutchfield lost one of these limbs at Chancellorsville,a leg
4684,2005-01-06,Jeopardy,'90s MUSIC,400,"""Don't go chasing"" these, TLC asked, ""please stick to the rivers and lakes that you're used to""",waterfalls
4684,2005-01-06,Jeopardy,NATIONAL HISTORIC SITES,400,The armory in this Mass. town was America's small arms manufacturer for nearly 200 years,Springfield
4684,2005-01-06,Jeopardy,NOW THAT'S INVENTIVE!,400,"For astronomy, not hunting, William Gascoigne created the telescopic site with these strands",crosshairs
4684,2005-01-06,Jeopardy,TRUCKIN',400,You could drive this automaker's Silverado through an avalanche,Chevrolet
4684,2005-01-06,Jeopardy,EDIBLE RHYME TIME,400,The indistinct grumble of a yellow bread spread,butter mutter
4684,2005-01-06,Jeopardy,THE CIVIL WAR,600,"As chief of aeronautics, U.S. Army, Thaddeus Lowe organized a corps of 5 of these",balloons
4684,2005-01-06,Jeopardy,'90s MUSIC,600,"In 1995 this brother & sister hit No. 5 with the song ""Scream""",Michael & Janet Jackson
4684,2005-01-06,Jeopardy,NATIONAL HISTORIC SITES,600,"The ruins of Puukohola Heiau, a temple built by this king, lie on the Northwestern shore of Hawaii",King Kamehameha
4684,2005-01-06,Jeopardy,NOW THAT'S INVENTIVE!,600,In the '40s AT&T used a radio with no conventional vacuum tubes to demonstrate this device invented in its lab,a transistor
4684,2005-01-06,Jeopardy,TRUCKIN',600,"This company gives its trucks an ""F"":150, 250 & 350",Ford
4684,2005-01-06,Jeopardy,EDIBLE RHYME TIME,600,A Toll House treat that's just been recruited,a rookie cookie
4684,2005-01-06,Jeopardy,THE CIVIL WAR,800,"McClellan, Burnside, Hooker & Meade successively headed this army",the Army of the Potomac
4684,2005-01-06,Jeopardy,'90s MUSIC,800,"A successful songwriter & producer, she had ""criminal"" success with her debut album ""Supa Dupa Fly""","Missy ""Misdemeanor"" Elliott"
4684,2005-01-06,Jeopardy,NATIONAL HISTORIC SITES,800,The Brown v. Board of Education National Historic Site consists of the Monroe Elementary School in this city,"Topeka, Kansas"
4684,2005-01-06,Jeopardy,NOW THAT'S INVENTIVE!,800,"This 18th century seed drill inventor shares his name with the band that gave us ""Aqualung""",Jethro Tull
4684,2005-01-06,Jeopardy,TRUCKIN',800,"When you hit the tundra, take this truck maker's Tacoma",Toyota
4684,2005-01-06,Jeopardy,EDIBLE RHYME TIME,800,A citrus fruit that emulates Marcel Marceau,a lime mime
4684,2005-01-06,Jeopardy,THE CIVIL WAR,1000,Troops under the command of this bottom-of-his-class grad from West Point made a disastrous charge at Gettysburg,Pickett
4684,2005-01-06,Jeopardy,'90s MUSIC,1000,"It's no mystery--this Canadian woman made her Top 40 debut in 1997 with ""Building A Mystery""",Sarah McLachlan
4684,2005-01-06,Jeopardy,NATIONAL HISTORIC SITES,1000,This war relocation center in California is 1 of 10 camps where Japanese-Americans were interned during WWII,Manzanar
