word,occurences
for,36332
the,180050
last,2797
8,913
years,3146
of,114338
his,17012
life,1708
galileo,34
was,29290
under,1517
house,1872
arrest,54
espousing,2
this,126753
mans,641
theory,234
no,3726
2,5933
1912,239
olympian,20
football,426
star,1822
at,12583
carlisle,10
indian,577
school,1292
6,1213
mlb,27
seasons,151
with,17871
reds,39
giants,95
,58047
braves,21
city,6534
yuma,14
in,103132
state,4706
has,6066
a,101596
record,730
average,216
4055,1
hours,277
sunshine,58
each,945
year,1815
1963,421
live,699
on,26311
art,863
linkletter,2
show,2394
company,1789
served,987
its,21315
billionth,15
burger,46
signer,40
dec,238
indep,6
framer,1
constitution,232
mass,347
second,1004
president,2985
united,467
states,1372
title,4084
an,13116
aesop,27
fable,29
insect,285
shared,318
billing,25
grasshopper,23
built,956
312,11
bc,784
to,52012
link,76
rome,315
south,1840
italy,355
still,926
use,1318
today,608
30,613
steals,28
birmingham,36
barons,24
2306,1
bulls,63
winter,377
197172,4
1122,2
inches,246
snow,209
fell,218
rainier,23
paradise,107
ranger,46
station,247
housewares,3
store,360
named,5678
packaging,16
merchandise,13
came,1013
first,10196
displayed,54
and,5974
away,759
we,2004
go,1372
cows,77
regurgitate,2
from,19678
stomach,79
mouth,273
chew,34
it,15419
again,498
1000,228
rajaraja,2
i,6520
cholas,1
battled,32
take,1218
ocean,441
island,2435
now,2393
known,3859
tea,237
1,2777
lettered,6
hoops,25
lacrosse,12
syracuse,17
if,3657
you,11021
think,463
he,14859
couldnt,186
act,624
ask,213
11,474
unclean,6
buddies,16
june,800
28,246
1994,605
natl,86
weather,214
service,551
began,1314
issuing,16
index,38
that,14403
rates,31
intensity,16
suns,47
radiation,69
companys,327
accutron,2
watch,241
introduced,885
1960,382
had,3838
guarantee,15
accuracy,18
within,330
one,12854
minute,117
month,388
outlaw,89
murdered,87
by,16106
traitor,36
coward,19
whose,1956
name,11273
is,34159
not,4891
worthy,16
appear,203
here,3628
small,1299
demon,27
or,10227
mischievous,22
child,444
who,7194
might,1354
be,6748
little,1808
karl,82
led,957
these,14866
marxist,17
organizational,3
efforts,52
1889,153
10,1251
fblb,1
columbia,176
u,180
1920s,235
mvp,124
yankees,113
27,234
36,72
gibraltar,32
cleats,3
africas,93
lowest,164
temperature,191
degrees,337
below,235
zero,83
1935,260
ifrane,1
just,2056
fez,11
country,4852
edward,349
teller,19
man,4862
partnered,34
1898,150
sell,141
high,1081
fashions,16
women,762
1939,324
oscar,906
winner,470
are,8443
credit,107
your,4167
craft,86
race,400
family,1533
geologic,24
time,2298
shorter,61
than,2612
eon,1
divided,275
into,3567
periods,34
subdivided,2
epochs,1
asian,428
political,451
party,817
founded,1486
1885,94
national,1975
as,16886
part,2700
5,1578
only,3382
center,917
lead,424
nba,280
assists,15
track,225
scholarship,34
kansas,273
marathoner,1
volleyballer,1
kirschner,1
brothers,535
don,265
bill,662
ski,82
themselves,140
secondhighest,11
mountain,778
revolutionary,184
war,2554
hero,637
spirit,190
vermont,111
single,423
layer,148
paper,465
perform,111
ones,752
diligently,3
ovoid,6
abandonment,2
beyond,99
betrayal,9
wont,275
believe,263
ending,162
when,6464
hatches,9
egga,2
california,814
can,4941
place,1443
leave,260
puppy,30
trip,262
carrier,68
him,3164
fits,92
airplane,84
seat,297
hes,1630
considered,370
author,1689
pentateuch,9
which,3971
hard,404
deuteronomy,27
continues,28
after,4884
death,1235
steven,91
tyler,92
band,793
lent,89
steamin,2
vocals,23
train,291
kept,245
arollin,1
popularized,136
yardbirds,6
around,1794
100,554
ad,436
tacitus,3
wrote,2954
book,2521
how,986
persuasive,1
speaking,155
declined,32
since,1205
cicero,10
born,2160
pan,128
am,537
qantas,8
late,720
70s,271
basically,72
ropedoff,2
economy,53
cabin,67
free,435
drinks,72
ali,77
married,901
daughter,768
fatima,6
shia,4
muslims,64
true,343
successor,75
during,2000
19541955,1
sun,552
sessions,14
elvis,211
climbed,31
aboard,153
sixteen,17
coaches,28
long,1490
glass,351
seen,5051
target_blankherea,2443
quaint,9
cocktail,162
made,4119
sugar,338
bitters,10
todays,39
headlines,57
turtle,52
king,2645
gone,238
mad,238
mack,31
good,1402
whod,37
bring,224
downa,7
2003,511
airline,141
agreed,86
buy,255
klm,7
creating,102
europes,74
largest,1942
philadelphia,189
got,1937
start,372
colony,328
religious,346
group,1898
william,1023
penn,138
member,702
modern,399
girl,881
hit,2099
billboard,65
top,1232
morning,215
nine,64
five,140
stiff,35
silken,2
fabric,215
favored,38
bridal,22
gowns,13
like,5101
christina,48
applegates,1
2001,553
between,1668
truth,179
fiction,128
lies,510
marcos,20
reality,93
halloween,67
saw,407
sta,2
2004,524
launched,307
new,4935
features,596
low,249
fares,5
more,2445
seats,61
per,331
plane,318
mary,616
accession,7
1553,13
ran,376
geneva,36
returned,268
1559,8
reformed,18
church,568
scotland,191
bands,145
vain,28
hidden,91
original,637
1979,416
london,686
calling,133
album,660
crosscountry,20
skiing,49
sometimes,557
referred,287
letters,526
same,1020
used,4012
denote,18
90,185
roman,758
numerals,25
hats,84
500,229
ways,88
die,302
july,861
4th,119
young,1026
boy,729
will,1585
defy,11
become,563
legenda,2
pocket,96
youll,1109
find,1043
catalog,36
called,5458
sky,218
musthaves,1
solarpowered,2
patio,6
umbrella,37
1534,19
buddy,117
francis,187
xavier,16
society,334
jesus,434
1961,415
james,1135
brown,480
announced,208
all,3371
1797,41
imbroglio,1
3,2974
french,2478
agents,45
demanded,29
huge,183
bribe,13
us,6167
diplomats,14
objects,169
pass,252
closer,47
mercury,96
have,5214
been,2399
mythological,73
figure,352
kingdom,267
usa,115
singer,843
also,3729
plays,669
lady,813
hannah,35
peach,71
downy,3
fuzzy,39
fruits,93
smooth,77
nectarine,3
4,1935
x,203
12,870
verb,235
bouncing,17
basketball,234
sounds,502
youre,1538
slobbering,4
blood,625
pumper,4
im,1947
tate,16
shaffer,11
inational,5
geographic,123
endeavouri,1
alex,167
anda,8
were,4585
galapagos,39
islands,702
latitude,71
means,2232
right,891
above,385
imaginary,59
line,1516
goes,608
way,1371
earth,725
everybody,83
else,144
knows,262
huggable,1
toys,81
precede,106
fire,571
radio,420
disney,269
do,2100
peaches,14
80,178
compound,112
7,1136
sound,560
navigation,29
ranging,11
full,476
device,521
bounces,9
waves,152
underwater,81
slender,41
missile,50
thrown,87
board,322
game,1569
pacific,460
day,2013
discovery,175
holiday,498
songs,390
my,2989
skin,305
aredeeper,1
those,567
let,462
said,3168
canadian,385
disneys,46
website,218
5letter,182
word,3303
interior,76
kids,625
bounce,22
rubber,136
ball,426
while,1515
picking,24
up,4333
6pronged,2
metal,529
separating,25
hair,405
role,822
play,2194
parts,442
arabian,76
libyan,18
deserts,20
found,1938
african,821
never,954
told,710
alliteratively,17
fallin,9
wait,124
did,951
tree,705
glossy,21
green,782
pointed,54
lance,46
shaped,109
15,640
type,4682
dance,659
famous,2496
michael,537
jackson,266
graphic,36
representation,33
information,113
history,752
include,1407
entering,63
york,1330
bay,579
ryan,104
tedder,1
moves,139
grow,202
nodes,5
along,519
shoots,35
previous,55
growth,96
theyre,752
usually,662
pink,199
1035,3
italian,1002
springboard,8
perfected,25
1930s,228
composer,539
wolfgang,16
9995,1
atom,87
park,1151
view,202
chula,1
vista,21
beat,295
taipei,9
63,46
win,699
organizations,52
2009,430
world,2707
series,1615
several,503
books,585
discovers,30
wizard,131
say,1068
target_blankthisa,1622
mollusk,48
see,1168
70,131
magnitude,15
earthquake,100
caribbean,187
jan,316
2010,331
brought,430
outpouring,1
aid,138
4letter,295
pleated,5
skirt,40
worn,309
men,1056
plant,589
process,431
carbon,82
dioxide,31
water,1430
combine,55
light,780
energy,294
create,185
oxygen,117
glucose,13
perfect,230
zealands,30
piha,1
beach,344
site,781
junior,74
championships,56
clark,157
county,463
nevada,105
entertainment,88
capital,2760
admitted,90
union,598
1859,120
car,704
news,521
widespread,19
recalls,16
corollas,1
other,1698
models,98
adjective,547
mean,678
proper,68
grade,60
papers,104
wedge,15
adaptation,83
simple,224
machine,338
inclined,19
mighty,112
leap,78
51,40
david,722
mosely,3
set,1503
event,626
back,1747
1977,373
target_blankthis,115
dog,880
breed,288
herea,73
loyal,33
protective,38
companion,111
bug,61
dont,1652
worry,58
doesnt,515
breathe,50
clue,4618
crew,3978
demonstrates,62
putting,124
arm,224
over,3009
moutha,1
avoid,133
spreading,34
germs,10
maybe,222
flu,17
learned,179
sneeze,15
character,1748
1897,117
maize,9
another,891
noble,98
gases,65
periodic,72
table,291
lightest,20
11yearold,22
ashlyn,1
white,1524
won,2479
youth,159
martial,76
try,379
throw,144
opponent,54
1751,12
provincial,32
assembly,135
placed,141
order,615
symbol,706
freedom,208
target_blankthesea,198
big,1682
trees,316
color,855
surprise,104
ted,104
kennedys,31
old,1861
senate,419
went,1074
republican,198
january,499
election,239
someone,577
walks,95
comes,1679
latin,1617
foot,283
lava,36
igneous,14
rock,993
formed,485
hot,552
liquid,287
material,384
earths,190
crust,83
sport,683
under17,1
cup,280
every,718
haris,2
seferovic,1
starred,638
champion,121
switzerland,110
older,157
son,1199
prince,613
charles,751
princess,282
diana,78
shaking,29
hands,271
premier,92
china,410
falcon,52
heene,1
turned,534
out,3500
safe,78
home,2362
flying,295
colorado,222
became,3162
kayak,5
example,301
reads,414
forwards,6
backwards,38
she,4790
virginia,497
1596,12
died,1349
kent,63
england,937
1617,6
prime,533
minister,608
tony,310
blair,37
dubbed,140
her,6362
peoples,125
once,1936
tommy,110
mullaney,1
la,985
law,746
john,2411
spencer,55
chief,668
staff,153
leo,90
mcgarry,1
cinderella,40
castle,268
mystery,227
tour,264
highlight,59
citys,803
disneyland,53
punk,39
hitmaker,3
heard,961
numerous,60
hits,346
both,1214
sides,185
atlantic,300
conrad,47
begins,660
ends,353
marlows,2
journey,136
thames,41
yawl,1
nellie,22
says,1710
foreword,9
novel,2965
well,1186
look,663
smart,64
vehicles,104
1999,848
untamed,3
heifer,3
virgin,131
queen,1023
barbra,46
streisand,39
played,3011
lt,97
col,61
raider,13
kelly,125
pensacola,10
wings,156
gold,770
silk,70
merchant,89
jim,311
thompson,66
disappeared,36
1967,439
tourist,86
attraction,114
thai,38
czar,142
17,415
extraordinary,19
sadism,1
cruelty,8
even,636
lilliput,7
reverse,103
butalso,1
offers,116
some,2465
fiercest,2
assaults,2
upon,328
behavior,93
countrymen,18
ed,136
leaves,337
pools,14
carpet,29
sailing,97
boat,317
mark,508
antony,43
queens,132
hi,427
wallace,88
langham,8
kirshner,2
vh1s,5
tv,1823
movie,1646
about,5341
quartet,77
sang,574
daydream,7
believer,13
stringing,2
czech,126
republic,364
puppet,57
theatres,13
nudge,9
wink,16
classic,1249
british,1947
comedy,688
husband,465
frank,334
oconnor,23
fuel,129
spirited,8
fountainhead,14
youd,275
naive,13
make,2065
bottled,21
thats,1544
popular,1287
19th,666
centurys,16
widow,93
windsor,50
teri,27
hatcher,13
looked,117
shipshape,7
singing,318
mermaids,4
jumped,45
cruisin,4
1985,416
jomo,1
kenyatta,3
international,433
airport,253
serves,115
longest,385
bibles,24
major,1064
prophets,19
edition,146
calls,375
darwin,53
opus,42
most,2684
readable,1
approachable,1
scientific,171
works,593
aye,19
lass,30
ill,442
wed,139
thee,147
ere,11
dried,106
fields,118
catholic,223
15th,142
century,1816
spain,404
saturday,138
night,955
playing,768
craig,38
cheerleader,25
janet,56
reno,35
moi,17
andrea,39
palladios,5
1554,11
antiquities,6
standard,306
guidebook,4
200,221
auto,172
execs,7
autobiography,181
bestselling,146
nonfiction,55
publishing,74
know,1451
so,2035
much,863
policy,91
qualify,24
15year,6
stay,201
proprietor,7
pennsylvania,240
1699,14
sfx,2
abbreviation,166
rustling,4
cannon,43
saintpierre,1
miquelon,1
designer,182
vivienne,5
westwood,5
shop,146
malcolm,74
mclaren,7
johnny,239
rotten,32
because,1269
thing,395
lunch,84
20,733
andy,121
warhol,26
painted,388
beginning,282
1962,424
lerner,25
loewes,5
lusty,12
monthbr,5
put,968
savings,21
cleveland,118
refinery,8
1862,132
eventually,72
oil,479
monopoly,64
term,2918
flow,153
film,4727
maintained,18
keeping,77
details,43
consistent,4
throughout,58
scene,270
montserrat,7
galliano,4
juan,114
carlos,57
possession,66
tip,132
against,947
capitalist,5
tendencies,2
portrait,232
patrick,152
dennis,104
auntiebr,1
helen,145
taft,41
fundraising,13
drive,205
memorial,282
marine,231
disaster,100
garland,38
jeffreys,3
having,405
starstudded,4
dreams,124
size,287
cook,190
katharine,38
hamnett,1
created,1037
80s,212
tshirt,19
telling,64
choose,60
andys,7
minutes,305
fame,596
quote,97
motto,212
magazine,599
becomes,306
electrabr,1
chiricahua,13
apache,35
1904,153
worlds,980
fair,327
st,1073
louis,521
inventors,39
camerastabilizing,1
special,450
madeira,9
loft,5
east,681
47th,8
street,748
nickname,932
former,1020
massproduction,1
techniques,20
colchian,1
jilted,6
jasonbr,1
1801,52
onetime,59
vp,101
compiled,15
manual,39
parliamentary,13
practice,235
near,1046
end,1055
credits,51
cutter,10
exposed,45
but,4855
unfinished,44
northern,435
mariana,9
manager,110
lou,72
reed,65
1965,384
produced,447
their,2780
fausts,1
fiendish,2
foebr,1
14,531
joe,344
dimaggios,6
hitting,69
streak,36
1941,254
would,1221
given,606
10000,118
contract,99
coating,26
teeth,247
hardest,28
substance,306
human,493
body,1330
bovine,47
took,1342
rap,62
disastrous,19
october,466
1871,117
flag,713
jack,550
minoru,2
yamasaki,1
reached,216
heights,69
complex,151
quentin,27
tarantino,17
directed,382
bit,212
jimmy,413
toluca,2
lake,1000
student,247
minor,135
takes,611
50,473
atoms,89
decay,34
radioactive,56
14140,1
feet,1092
rocky,169
peak,319
discovered,587
1806,55
colorados,14
highest,611
nation,856
bollywood,2
pereira,1
erected,40
transamerica,7
pyramid,73
bomber,40
howard,190
payne,13
hopper,21
planted,55
bomb,113
area,1071
transit,15
bus,87
blow,137
whip,52
compounds,48
element,546
added,351
salt,210
pure,103
form,1085
quite,216
poisonous,82
creation,97
slept,38
god,1202
eve,138
garcia,53
native,590
bulfinch,6
contributed,35
capitol,120
washington,819
dc,335
designed,535
beacon,20
hill,331
jean,181
vander,3
pyl,3
wilma,7
cartoon,204
mrs,324
feldspar,7
hollow,69
holds,366
bulb,68
super,272
class,365
stars,506
includes,700
antares,7
betelgeuse,8
triangular,54
miles,1232
off,1735
southeast,110
coast,500
massachusetts,340
1990s,108
moved,478
government,606
